C091496G       -10.84  165.94  AZ.FRD      AZ.FRD..BHZ       33.49  -116.60     85.88   1429.80  1550.80     2.20     2.20      0.89      0.89      0.79     6.36     7.96      9.01     -0.05     -0.05     -0.05      0.47      0.67
C091496G       -10.84  165.94  AZ.FRD      AZ.FRD..BHZ       33.49  -116.60     85.88   1942.80  2050.60     5.60     5.60      0.86      0.86      0.46     5.45     7.34     13.84      0.08      0.08      0.08      0.51      1.00
C091496G       -10.84  165.94  AZ.FRD      AZ.FRD..BHZ       33.49  -116.60     85.88   2199.80  2264.40     0.00     0.00      0.86      0.86      0.86     3.26     4.43      4.43      0.16      0.16      0.16      0.52      0.52
C091496G       -10.84  165.94  AZ.FRD      AZ.FRD..BHZ       33.49  -116.60     85.88   2290.60  2445.00     4.00     4.00      0.90      0.90      0.62     8.16    10.04     14.57      0.48      0.49      0.48      0.52      0.78
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHR      33.60  -116.48     86.01   1484.20  1576.00     0.00     0.00      0.96      0.96      0.96     5.20     5.60      5.60      0.58      0.58      0.58      0.48      0.48
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHR      33.60  -116.48     86.01   2286.60  2412.80     3.40     3.40      0.97      0.97      0.76     7.19     7.62      9.77      0.63      0.63      0.63      0.50      0.69
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHZ      33.60  -116.48     86.01    687.20   822.80     0.40     0.40      0.89      0.89      0.88     7.09     8.98      9.02      0.28      0.28      0.28      0.48      0.48
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHZ      33.60  -116.48     86.01   1301.00  1431.40     2.20     2.00      0.92      0.92      0.74     7.03     8.33     10.31      0.69      0.69      0.69      0.57      0.71
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHZ      33.60  -116.48     86.01   1431.40  1553.00     1.80     1.80      0.89      0.89      0.82     6.36     8.03      8.71     -0.08     -0.08     -0.08      0.50      0.63
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHZ      33.60  -116.48     86.01   1944.40  2050.80     5.40     5.40      0.86      0.87      0.48     5.41     7.19     12.97      0.01      0.01      0.01      0.51      1.02
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHZ      33.60  -116.48     86.01   2076.80  2201.40     0.80     0.80      0.88      0.88      0.87     6.46     8.31      8.43      0.35      0.34      0.34      0.50      0.52
C091496G       -10.84  165.94  AZ.GLAC     AZ.GLAC..BHZ      33.60  -116.48     86.01   2291.60  2413.20     3.20     3.20      0.97      0.99      0.78     6.97     7.26      9.16      0.45      0.46      0.45      0.39      0.64
C091496G       -10.84  165.94  AZ.KNW      AZ.KNW..BHR       33.71  -116.71     85.85   1299.40  1429.20     1.60     1.60      0.90      0.91      0.83     6.91     8.41      9.16      0.51      0.51      0.51      0.52      0.60
C091496G       -10.84  165.94  AZ.KNW      AZ.KNW..BHR       33.71  -116.71     85.85   1429.20  1575.20     1.40     1.40      0.96      0.97      0.93     8.29     8.90      9.20      0.30      0.30      0.30      0.35      0.41
C091496G       -10.84  165.94  AZ.KNW      AZ.KNW..BHR       33.71  -116.71     85.85   2283.00  2406.80     3.60     3.60      0.98      0.98      0.74     7.10     7.40      9.90      0.54      0.55      0.54      0.44      0.69
