C200511091133A      -1.200   -77.100   247.400
C201405062052A     -36.400   -97.600    16.100
C200703311249A     -55.940  -123.610    12.000
C200911130306A     -19.600   -71.010    36.200
C200507261411A     -15.410   -73.150   107.600
C200709132006A     -57.870  -147.270    13.900
C201010200658A      24.720  -109.180    15.500
C042994A           -28.510   -63.220   565.900
C201309111244A      -4.450  -104.840    16.200
C201601050934A     -54.460  -136.560    12.000
C201401200252A     -40.670   175.800    24.500
C122798A           -21.690  -175.860   159.600
C201403231819A     -19.700   -71.050    21.700
C200911012128A     -15.340  -173.390   120.400
C201412072116A      13.650   -91.840    25.800
C092201A             4.030   -76.170   178.000
C200901292228A      -8.160   -71.520   614.600
C201308131543A       5.770   -78.190    20.900
C201608181809A     -55.970  -123.630    13.400
C200512232147A      -1.590   -77.760   196.800
C200609301626A     -15.720   -73.340   120.400
B102302F           -30.690  -179.560   363.800
C201012052144A     -36.220  -101.080    18.600
C201005191030A     -54.720  -135.490    14.900
C201005232246A     -14.030   -74.520   108.900
C201510110058A     -54.610  -136.110    12.900
C201207180425A     -55.360  -128.960    20.300
C200608152353A     -21.180  -175.700   162.500
C200811050341A     -17.220  -174.060   185.600
C201602162348A     -55.740  -124.570    20.100
C201412262352A       6.680   -82.410    17.900
C101202H            -8.300   -71.660   539.400
C082595D           -18.560  -175.140   234.000
C201211221307A     -22.860   -63.690   544.400
C201304260653A     -28.670  -178.820   356.000
C070998D           -30.510  -178.710   154.500
C200506151952A     -44.910   -80.680    17.000
C112897C           -13.700   -68.900   600.500
C102100B           -17.400  -174.790   299.600
C200611191857A      -4.540  -104.850    17.100
C200607070726A     -15.240  -173.440    53.400
C051200C           -23.720   -66.850   226.600
C201410090214A     -32.340  -110.810    12.000
C200707211327A      -8.080   -71.300   637.500
C081500C           -31.420  -179.950   367.400
C200911141944A     -23.040   -66.830   221.200
C201004101654A     -20.120  -175.740   278.200
C200903160713A     -55.230  -129.570    17.300
C201609051518A     -37.070   178.850    19.700
C200904031754A     -28.090   -66.710   180.400
C201308120949A      -5.520   -82.130    12.000
C200806050216A     -39.010   -91.850    12.000
C070401B           -21.810  -176.310   186.500
C200503211223A     -24.880   -63.540   572.300
C201003051147A     -36.890   -73.750    14.900
C120799F           -15.750  -173.620   148.600
C201002281125A     -35.110   -72.050    53.500
C201308211238A      17.000   -99.540    23.300
C200707120523A      -8.000   -74.420   156.400
C200811190611A       8.230   -82.770    42.100
C200907081923A     -35.990  -102.750    17.600
C200711160312A      -2.500   -78.000   114.300
C201405182347A      -4.470  -105.760    15.000
C100201B           -16.200  -173.360   108.900
C201212171741A      -3.960  -104.350    16.400
C200609242108A     -31.890   -67.180   151.600
C201403152351A      -5.650   -81.100    32.500
C200503171337A      15.200   -91.630   181.500
C200901181411A     -30.060  -177.580    52.000
C200912030612A     -56.110  -122.780    12.000
C201411011059A     -31.940  -111.220    12.000
C200512221220A     -54.570  -135.910    15.000
C201501070306A     -35.880  -103.370    20.100
C110100A            -7.990   -74.350   153.100
C200601040832A      28.380  -112.510    15.000
C092395E           -10.620   -78.470    73.100
C201509130814A      25.090  -109.530    14.900
C200708261237A     -17.340  -173.840   130.300
C201401210129A     -15.270  -174.860    12.000
C201509262140A     -56.680  -142.490    23.800
C200711201528A     -29.810  -177.400    51.500
C200505121115A     -57.570  -138.910    12.000
C200702140129A     -29.740  -112.170    17.100
C200711211255A     -25.020   -68.810   127.300
C201310062133A     -36.410   -98.180    24.700
C201011121901A     -35.990  -102.280    18.800
C200712200755A     -38.920   178.400    30.400
C081804B            16.400   -95.140    77.600
C200705071115A     -45.000   -81.210    20.300
C201302221201A     -27.890   -63.000   585.700
C200802161445A     -21.580   -68.770   135.300
C061600B           -33.950   -69.920   109.100
C201311021853A     -19.330  -172.260    12.000
C121304C            13.300   -89.810    60.000
B042703C            -8.200   -71.560   580.200
C200909240716A      18.900  -107.500    13.900
C201205180200A     -44.900   -80.510    20.600
C201403191600A     -27.980  -176.690    36.600
C201310300251A     -35.430   -73.480    12.000
C201310312303A     -30.460   -71.860    35.800
C200809180141A      -4.530  -105.980    16.000
C201005190415A      -5.130   -77.550   132.200
C032597I            -8.860   -71.250   618.000
C050397C           -31.700  -179.060   119.300
C201203050746A     -28.190   -63.270   565.100
C101597A           -31.060   -71.420    69.800
C072998A           -32.300   -71.670    58.000
C201405130635A       7.360   -82.410    17.600
C201009040852A     -17.330  -173.540    83.100
C200711290326A     -36.430   -98.350    24.500
C201002121203A     -33.630   -69.020   173.500
C201403170511A     -20.010   -71.050    17.800
C201012240548A     -63.590  -167.620    14.600
C061599F            18.440   -97.380    61.200
C082899C            -1.360   -77.750   198.200
C112900B           -24.630   -70.890    53.000
C072703A           -21.090  -176.120   215.600
C201309051229A      10.300   -86.450    20.600
C201109150753A     -35.180  -178.680    12.000
C201006171306A     -32.900   179.940   204.800
C201010200409A      24.740  -109.190    19.400
