#event_id event_lat event_lon station netwk.stn.channel.comp slat slon EPIC_DIST relative_starttime relative_endtime shift(in s) CC_value(t) CC_value(0) wind_weight dlnA(t) dlnA(0)
C201303102251A -6.71  148.37   AE.319A       AE.319A..BHZ             31.38   -109.28    104.25   2180.40   2335.20     -4.20      0.93      0.80      3.61     -0.22     -0.22
C201303102251A -6.71  148.37   AE.319A       AE.319A..BHZ             31.38   -109.28    104.25   2773.20   3269.00     -4.00      0.85      0.75     10.54      0.36      0.36
C201303102251A -6.71  148.37   AE.U15A       AE.U15A..BHR             36.43   -112.29    101.69   2118.60   2299.00     -3.00      0.92      0.84      4.13      0.14      0.14
C201303102251A -6.71  148.37   AE.U15A       AE.U15A..BHT             36.43   -112.29    101.69   2345.80   2499.60      2.00      0.91      0.90      3.50     -0.21     -0.18
C201303102251A -6.71  148.37   AE.U15A       AE.U15A..BHT             36.43   -112.29    101.69   2499.60   2675.20     -0.60      0.97      0.97      4.28      0.15      0.16
C201303102251A -6.71  148.37   AE.U15A       AE.U15A..BHZ             36.43   -112.29    101.69   2143.00   2300.20     -4.20      0.95      0.80      3.74      0.06      0.06
C201303102251A -6.71  148.37   AE.U15A       AE.U15A..BHZ             36.43   -112.29    101.69   2603.60   3151.60     -4.60      0.90      0.77     12.38      0.20      0.20
C201303102251A -6.71  148.37   AE.W13A       AE.W13A..BHR             35.10   -113.89    100.39   1337.00   1649.20     -3.40      0.93      0.85      7.28      0.16      0.15
C201303102251A -6.71  148.37   AE.W13A       AE.W13A..BHR             35.10   -113.89    100.39   1830.40   2054.00     -1.60      0.88      0.86      4.91     -0.05     -0.05
C201303102251A -6.71  148.37   AE.W13A       AE.W13A..BHR             35.10   -113.89    100.39   2658.80   3057.20     -4.60      0.87      0.75      8.71      0.35      0.35
C201303102251A -6.71  148.37   AE.W13A       AE.W13A..BHT             35.10   -113.89    100.39   1894.80   2049.20     -0.80      0.89      0.89      3.44      0.32      0.32
C201303102251A -6.71  148.37   AE.W13A       AE.W13A..BHT             35.10   -113.89    100.39   2422.20   2633.80      0.40      0.92      0.91      4.84      0.08      0.08
C201303102251A -6.71  148.37   AE.W13A       AE.W13A..BHZ             35.10   -113.89    100.39   2086.00   2278.40     -4.20      0.97      0.81      4.65     -0.11     -0.11
C201303102251A -6.71  148.37   AE.W13A       AE.W13A..BHZ             35.10   -113.89    100.39   2590.40   3190.80     -4.60      0.91      0.79     13.64      0.17      0.17
C201303102251A -6.71  148.37   AE.X16A       AE.X16A..BHT             34.42   -111.44    102.40   2355.20   2516.40      0.00      0.94      0.94      3.80     -0.08     -0.08
C201303102251A -6.71  148.37   AE.X16A       AE.X16A..BHT             34.42   -111.44    102.40   2516.40   2686.00      0.40      0.98      0.98      4.17      0.25      0.25
C201303102251A -6.71  148.37   AE.X16A       AE.X16A..BHZ             34.42   -111.44    102.40   1487.60   1660.00     -3.80      0.85      0.72      3.68      0.36      0.30
C201303102251A -6.71  148.37   AE.X16A       AE.X16A..BHZ             34.42   -111.44    102.40   2028.60   2306.20     -4.40      0.92      0.74      6.36     -0.11     -0.11
C201303102251A -6.71  148.37   AE.X16A       AE.X16A..BHZ             34.42   -111.44    102.40   2620.40   3158.60     -4.60      0.92      0.78     12.35      0.15      0.15
C201303102251A -6.71  148.37   AE.X18A       AE.X18A..BHR             34.53   -109.95    103.63   1862.40   2109.80     -4.00      0.85      0.73      5.27      0.12      0.12
C201303102251A -6.71  148.37   AE.X18A       AE.X18A..BHR             34.53   -109.95    103.63   2150.40   2326.20     -3.80      0.94      0.80      4.13     -0.13     -0.13
C201303102251A -6.71  148.37   AE.X18A       AE.X18A..BHT             34.53   -109.95    103.63   1415.00   1728.00     -0.20      0.86      0.86      6.71      0.23      0.23
C201303102251A -6.71  148.37   AE.X18A       AE.X18A..BHT             34.53   -109.95    103.63   1858.20   2131.60      0.00      0.88      0.88      6.00      0.18      0.18
C201303102251A -6.71  148.37   AE.X18A       AE.X18A..BHT             34.53   -109.95    103.63   2161.20   2343.60     -1.40      0.90      0.89      4.08      0.18      0.18
