C201407041500A -6.39  152.89  AK.BPAW     AK.BPAW..BHR      64.10  -150.99     81.87   2202.60  2548.00     0.20     0.20      0.98      0.98      0.98     8.48     8.79      8.79      0.35      0.35      0.35      0.33      0.33
C201407041500A -6.39  152.89  AK.BRLK     AK.BRLK..BHR      59.75  -150.91     79.52   2120.40  2538.80     0.40     0.40      0.97      0.97      0.97    10.10    10.83     10.84      0.25      0.25      0.25      0.32      0.32
C201407041500A -6.39  152.89  AK.BRLK     AK.BRLK..BHZ      59.75  -150.91     79.52   2121.00  2525.60    -0.80    -0.80      0.95      0.95      0.95     9.61    10.65     10.69      0.21      0.21      0.21      0.34      0.35
C201407041500A -6.39  152.89  AK.BRSE     AK.BRSE..BHR      59.74  -150.74     79.58   2122.20  2539.20     0.40     0.40      0.97      0.97      0.97    10.14    10.72     10.73      0.26      0.26      0.26      0.31      0.31
C201407041500A -6.39  152.89  AK.BRSE     AK.BRSE..BHZ      59.74  -150.74     79.58   2122.80  2523.80    -0.80    -0.80      0.95      0.95      0.95     9.53    10.54     10.58      0.22      0.22      0.22      0.34      0.35
C201407041500A -6.39  152.89  AK.CAPN     AK.CAPN..BHR      60.77  -151.15     79.97   2141.60  2491.00     0.00     0.00      0.94      0.94      0.94     8.19     9.32      9.32      0.73      0.73      0.73      0.57      0.58
C201407041500A -6.39  152.89  AK.CAPN     AK.CAPN..BHZ      60.77  -151.15     79.97   2139.00  2520.00    -0.60    -0.60      0.94      0.94      0.94     8.98    10.10     10.12      0.37      0.37      0.37      0.42      0.42
C201407041500A -6.39  152.89  AK.CCB      AK.CCB..BHR       64.65  -147.81     83.33   2243.00  2589.00     0.60     0.60      0.99      0.99      0.99     8.57     8.73      8.75      0.50      0.50      0.50      0.40      0.41
C201407041500A -6.39  152.89  AK.CCB      AK.CCB..BHZ       64.65  -147.81     83.33   2245.60  2675.00     0.00     0.00      0.98      0.98      0.98    10.49    10.99     10.99      0.42      0.42      0.42      0.38      0.38
C201407041500A -6.39  152.89  AK.CHN      AK.CHN..BHR       54.83  -159.59     72.80   1920.20  2349.20    -1.00    -1.00      0.95      0.95      0.94    10.20    11.28     11.38      0.29      0.29      0.29      0.37      0.39
C201407041500A -6.39  152.89  AK.CHN      AK.CHN..BHZ       54.83  -159.59     72.80   1922.00  2303.00    -0.20    -0.20      0.94      0.94      0.94     8.94    10.14     10.15      0.46      0.46      0.46      0.46      0.46
