event_name     event_lat  event_lon  station     station_lat  station_lon  DT/T    
C042300B       -28.4100  296.9600  GT.PLCA     -40.7330  289.4490   -0.3102
C042300B       -28.4100  296.9600  II.EFI      -51.6750  301.9360   -0.1391
C042300B       -28.4100  296.9600  IU.HKT       29.9620  264.1620   -0.1540
C042300B       -28.4100  296.9600  IU.HKT       29.9620  264.1620    0.0644
C042300B       -28.4100  296.9600  IU.KIP       21.4200  201.9890    0.0665
C042300B       -28.4100  296.9600  IU.KIP       21.4200  201.9890    0.0120
C042300B       -28.4100  296.9600  IU.PAYG      -0.6740  269.7140    0.2626
C042300B       -28.4100  296.9600  IU.PAYG      -0.6740  269.7140   -0.2423
C042300B       -28.4100  296.9600  IU.PAYG      -0.6740  269.7140   -0.2150
C042300B       -28.4100  296.9600  IU.POHA      19.7570  204.4670    0.1190
C042300B       -28.4100  296.9600  IU.POHA      19.7570  204.4670    0.0250
C042300B       -28.4100  296.9600  IU.TEIG      20.2260  271.7240    0.1265
C042300B       -28.4100  296.9600  US.LTX       29.3340  256.3330    0.0212
C042300B       -28.4100  296.9600  YH.G01       -0.8940  270.3910   -0.4131
C042300B       -28.4100  296.9600  YH.G02B      -1.3710  270.2570   -0.2518
C042300B       -28.4100  296.9600  YH.G03       -1.2780  269.5190    1.1916
C042300B       -28.4100  296.9600  YH.G03       -1.2780  269.5190    0.0000
C042300B       -28.4100  296.9600  YH.G03       -1.2780  269.5190   -0.1615
C042300B       -28.4100  296.9600  YH.G04B      -0.1700  269.1780   -0.2141
C042300B       -28.4100  296.9600  YH.G05        0.1360  268.6230   -0.1419
C042699C       -1.5000  282.1700  G.HDC        10.0020  275.8890    0.6394
C042699C       -1.5000  282.1700  G.KIP        21.4200  201.9890   -0.6533
C042699C       -1.5000  282.1700  G.KIP        21.4200  201.9890   -0.6074
C042699C       -1.5000  282.1700  G.PEL       -33.1440  289.3250   -2.1724
C042699C       -1.5000  282.1700  G.PEL       -33.1440  289.3250   -1.1387
C042699C       -1.5000  282.1700  GT.PLCA     -40.7330  289.4490   -0.7579
C042699C       -1.5000  282.1700  II.EFI      -51.6750  301.9360   -0.5057
C042699C       -1.5000  282.1700  II.JTS       10.2910  275.0470    1.4790
C042699C       -1.5000  282.1700  II.RPN      -27.1270  250.6660   -0.8477
C042699C       -1.5000  282.1700  IU.HKT       29.9620  264.1620    0.1729
C042699C       -1.5000  282.1700  IU.KIP       21.4200  201.9890   -0.6435
C042699C       -1.5000  282.1700  IU.KIP       21.4200  201.9890   -0.5914
C042699C       -1.5000  282.1700  IU.LCO      -29.0110  289.3000   -0.9897
C042699C       -1.5000  282.1700  IU.PAYG      -0.6740  269.7140   -1.8763
C042699C       -1.5000  282.1700  IU.TEIG      20.2260  271.7240    0.1348
C042994A       -28.5100  296.7800  GT.LPAZ     -16.2880  291.8690    0.2241
C042994A       -28.5100  296.7800  II.NNA      -11.9880  283.1580   -0.3867
C042994A       -28.5100  296.7800  IU.AFI      -13.9090  188.2230   -0.1200
C042994A       -28.5100  296.7800  IU.KIP       21.4200  201.9890   -0.0850
C042994A       -28.5100  296.7800  IU.RAR      -21.2120  200.2270   -0.0449
C042994A       -28.5100  296.7800  XB.EUAT     -21.3480  185.0460   -0.0594
C042994A       -28.5100  296.7800  XB.NIUE     -18.9790  190.1240   -0.2450
C042994A       -28.5100  296.7800  XB.NIUE     -18.9790  190.1240   -0.0803
C050295B       -3.7700  282.9300  G.KIP        21.4200  201.9890   -0.7027
C050295B       -3.7700  282.9300  G.KIP        21.4200  201.9890    0.3219
C050295B       -3.7700  282.9300  G.KIP        21.4200  201.9890   -0.6620
C050295B       -3.7700  282.9300  G.UNM        19.3300  260.8220    0.3715
C050295B       -3.7700  282.9300  G.UNM        19.3300  260.8220    0.4737
C050295B       -3.7700  282.9300  G.UNM        19.3300  260.8220    0.1085
C050295B       -3.7700  282.9300  GT.LPAZ     -16.2880  291.8690   -1.1871
C050295B       -3.7700  282.9300  GT.LPAZ     -16.2880  291.8690   -0.9242
C050295B       -3.7700  282.9300  GT.PLCA     -40.7330  289.4490   -0.0850
C050295B       -3.7700  282.9300  GT.PLCA     -40.7330  289.4490   -0.2392
C050295B       -3.7700  282.9300  GT.PLCA     -40.7330  289.4490   -0.0681
C050295B       -3.7700  282.9300  II.JTS       10.2910  275.0470    0.6593
C050295B       -3.7700  282.9300  II.RPN      -27.1270  250.6660   -0.1482
C050295B       -3.7700  282.9300  IU.AFI      -13.9090  188.2230   -0.3331
C050295B       -3.7700  282.9300  IU.AFI      -13.9090  188.2230   -0.5105
C050295B       -3.7700  282.9300  IU.KIP       21.4200  201.9890   -0.7027
C050295B       -3.7700  282.9300  IU.KIP       21.4200  201.9890    0.3219
C050295B       -3.7700  282.9300  IU.KIP       21.4200  201.9890   -0.6619
C050295B       -3.7700  282.9300  IU.RAR      -21.2120  200.2270   -0.0769
C050295B       -3.7700  282.9300  IU.RAR      -21.2120  200.2270   -0.4387
C050295B       -3.7700  282.9300  XB.EUAT     -21.3480  185.0460   -0.4549
C050295B       -3.7700  282.9300  XB.NIUE     -18.9790  190.1240   -0.5166
C050295B       -3.7700  282.9300  XE.BATO     -19.6260  294.5640   -0.4958
C050295B       -3.7700  282.9300  XE.BATO     -19.6260  294.5640   -1.0944
C050295B       -3.7700  282.9300  XE.BATO     -19.6260  294.5640   -0.5943
C050295B       -3.7700  282.9300  XE.CRUZ     -19.1030  293.7790   -0.5764
C050295B       -3.7700  282.9300  XE.CRUZ     -19.1030  293.7790   -1.0016
C050295B       -3.7700  282.9300  XE.CRUZ     -19.1030  293.7790   -0.5239
C050295B       -3.7700  282.9300  XE.DOOR     -19.3540  292.7770   -0.8491
C050295B       -3.7700  282.9300  XE.DOOR     -19.3540  292.7770   -0.5233
C050295B       -3.7700  282.9300  XE.HIZO     -19.6070  291.6740   -0.5645
C050295B       -3.7700  282.9300  XE.LIRI     -19.8520  291.1510   -0.5958
C050295B       -3.7700  282.9300  XE.PACH     -19.8690  290.5810   -0.7764
C050295B       -3.7700  282.9300  XE.POOP     -18.3870  292.9820   -0.5682
C050295B       -3.7700  282.9300  XE.SALI     -19.6210  292.2740   -0.5246
C050295B       -3.7700  282.9300  XE.SCHO     -19.1480  295.3570   -0.8040
C050295B       -3.7700  282.9300  XE.SCHO     -19.1480  295.3570   -0.8734
C050295B       -3.7700  282.9300  XE.SCHO     -19.1480  295.3570   -0.4567
C050295B       -3.7700  282.9300  XE.TACA     -18.8280  293.2660   -0.9849
C050295B       -3.7700  282.9300  XE.TACA     -18.8280  293.2660   -0.6157
C050295B       -3.7700  282.9300  XE.YUNZ     -19.1580  294.9310   -0.6238
C050295B       -3.7700  282.9300  XE.YUNZ     -19.1580  294.9310   -0.9151
C050295B       -3.7700  282.9300  XE.YUNZ     -19.1580  294.9310   -0.4911
C050397C       -31.7000  180.9400  GT.LPAZ     -16.2880  291.8690   -0.0470
C050397C       -31.7000  180.9400  GT.LPAZ     -16.2880  291.8690    0.0560
C050397C       -31.7000  180.9400  GT.LPAZ     -16.2880  291.8690   -0.1573
C050397C       -31.7000  180.9400  II.EFI      -51.6750  301.9360   -0.5840
C050397C       -31.7000  180.9400  II.EFI      -51.6750  301.9360   -0.2467
C050397C       -31.7000  180.9400  II.EFI      -51.6750  301.9360   -0.5263
C050397C       -31.7000  180.9400  IU.HKT       29.9620  264.1620   -0.0781
C050397C       -31.7000  180.9400  IU.HKT       29.9620  264.1620    0.1534
C050397C       -31.7000  180.9400  IU.KIP       21.4200  201.9890   -0.3717
C050397C       -31.7000  180.9400  IU.KIP       21.4200  201.9890    0.1823
C050397C       -31.7000  180.9400  IU.KIP       21.4200  201.9890   -0.4025
C050397C       -31.7000  180.9400  IU.RAR      -21.2120  200.2270    0.5428
C050397C       -31.7000  180.9400  IU.RAR      -21.2120  200.2270    0.0000
C050397C       -31.7000  180.9400  IU.RAR      -21.2120  200.2270    0.6856
C050397C       -31.7000  180.9400  XB.FELL     -52.0570  289.9950   -0.0309
C050397C       -31.7000  180.9400  XB.MILO     -51.5680  287.3800   -0.5159
