event_name     event_lat  event_lon  station     station_lat  station_lon  DT/T    
C032597I       -8.8600  288.7500  XH.CHAS     -21.9600  292.1500   -0.7283
C032597I       -8.8600  288.7500  XH.LCOL     -22.2800  292.3500   -0.9341
C032597I       -8.8600  288.7500  XH.UYUN     -20.4600  293.2500   -0.2420
C042300B       -28.4100  296.9600  G.KIP        21.4200  201.9890    0.0109
C042300B       -28.4100  296.9600  G.KIP        21.4200  201.9890   -0.0669
C042300B       -28.4100  296.9600  G.KIP        21.4200  201.9890   -0.0768
C042300B       -28.4100  296.9600  G.KIP        21.4200  201.9890   -0.0362
C042300B       -28.4100  296.9600  G.KIP        21.4200  201.9890   -0.0312
C042300B       -28.4100  296.9600  G.PEL       -33.1440  289.3250   -0.5542
C042300B       -28.4100  296.9600  G.PEL       -33.1440  289.3250    0.0000
C042300B       -28.4100  296.9600  G.PEL       -33.1440  289.3250   -0.2375
C042300B       -28.4100  296.9600  G.UNM        19.3300  260.8220   -0.0366
C042300B       -28.4100  296.9600  GE.MAUI      20.7670  203.7550    0.0296
C042300B       -28.4100  296.9600  GT.PLCA     -40.7330  289.4490    0.5019
C042300B       -28.4100  296.9600  GT.PLCA     -40.7330  289.4490    0.0558
C042300B       -28.4100  296.9600  GT.PLCA     -40.7330  289.4490   -0.3232
C042300B       -28.4100  296.9600  II.EFI      -51.6750  301.9360   -0.2685
C042300B       -28.4100  296.9600  IU.HKT       29.9620  264.1620   -0.1972
C042300B       -28.4100  296.9600  IU.KIP       21.4200  201.9890    0.0000
C042300B       -28.4100  296.9600  IU.KIP       21.4200  201.9890   -0.0669
C042300B       -28.4100  296.9600  IU.KIP       21.4200  201.9890   -0.0666
C042300B       -28.4100  296.9600  IU.KIP       21.4200  201.9890   -0.0302
C042300B       -28.4100  296.9600  IU.KIP       21.4200  201.9890   -0.0312
C042300B       -28.4100  296.9600  IU.PAYG      -0.6740  269.7140   -0.0661
C042300B       -28.4100  296.9600  IU.POHA      19.7570  204.4670    0.0162
C042300B       -28.4100  296.9600  US.LTX       29.3340  256.3330   -0.0300
C042300B       -28.4100  296.9600  US.LTX       29.3340  256.3330   -0.0360
C042300B       -28.4100  296.9600  YH.G01       -0.8940  270.3910   -0.3403
C042300B       -28.4100  296.9600  YH.G03       -1.2780  269.5190   -0.1325
C042300B       -28.4100  296.9600  YH.G04B      -0.1700  269.1780   -0.0491
C042699C       -1.5000  282.1700  GT.PLCA     -40.7330  289.4490   -0.8143
C042699C       -1.5000  282.1700  II.EFI      -51.6750  301.9360   -0.7078
C042699C       -1.5000  282.1700  II.JTS       10.2910  275.0470    0.9961
C042699C       -1.5000  282.1700  IU.HKT       29.9620  264.1620    0.0426
C042699C       -1.5000  282.1700  IU.PAYG      -0.6740  269.7140   -1.5402
C042994A       -28.5100  296.7800  GT.LPAZ     -16.2880  291.8690    1.2888
C042994A       -28.5100  296.7800  GT.LPAZ     -16.2880  291.8690   -0.8192
C042994A       -28.5100  296.7800  GT.LPAZ     -16.2880  291.8690    0.7629
C042994A       -28.5100  296.7800  IU.KIP       21.4200  201.9890    0.0000
C042994A       -28.5100  296.7800  IU.KIP       21.4200  201.9890    0.0796
C042994A       -28.5100  296.7800  IU.RAR      -21.2120  200.2270    0.1026
C050295B       -3.7700  282.9300  G.UNM        19.3300  260.8220   -0.1393
C050295B       -3.7700  282.9300  GT.LPAZ     -16.2880  291.8690   -1.5632
C050295B       -3.7700  282.9300  II.JTS       10.2910  275.0470    0.4186
C050295B       -3.7700  282.9300  XE.BATO     -19.6260  294.5640   -0.7706
C050295B       -3.7700  282.9300  XE.CRUZ     -19.1030  293.7790   -0.9740
C050295B       -3.7700  282.9300  XE.HIZO     -19.6070  291.6740    0.0000
C050295B       -3.7700  282.9300  XE.LAJO     -17.7760  292.5210   -1.5507
C050295B       -3.7700  282.9300  XE.LIRI     -19.8520  291.1510    0.8333
C050295B       -3.7700  282.9300  XE.PACH     -19.8690  290.5810    0.0000
C050295B       -3.7700  282.9300  XE.POOP     -18.3870  292.9820   -1.1438
C050295B       -3.7700  282.9300  XE.SALI     -19.6210  292.2740    0.0000
C050295B       -3.7700  282.9300  XE.SCHO     -19.1480  295.3570   -1.0512
C050295B       -3.7700  282.9300  XE.TACA     -18.8280  293.2660   -0.9136
C050295B       -3.7700  282.9300  XE.YUNZ     -19.1580  294.9310   -0.9541
C050397C       -31.7000  180.9400  GT.LPAZ     -16.2880  291.8690   -0.1494
C050397C       -31.7000  180.9400  GT.LPAZ     -16.2880  291.8690   -0.2374
C050397C       -31.7000  180.9400  IU.HKT       29.9620  264.1620   -0.0408
C050397C       -31.7000  180.9400  IU.HKT       29.9620  264.1620   -0.0270
C050397C       -31.7000  180.9400  IU.KIP       21.4200  201.9890   -0.0664
C050397C       -31.7000  180.9400  IU.RAR      -21.2120  200.2270    0.3032
C050397C       -31.7000  180.9400  IU.RAR      -21.2120  200.2270   -0.0797
C050397C       -31.7000  180.9400  IU.RAR      -21.2120  200.2270    0.3035
C050397C       -31.7000  180.9400  XB.FELL     -52.0570  289.9950   -0.6900
C050397C       -31.7000  180.9400  XB.FELL     -52.0570  289.9950   -0.5996
C050397C       -31.7000  180.9400  XB.HAMB     -53.6140  289.0690   -0.6965
C050397C       -31.7000  180.9400  XB.MILO     -51.5680  287.3800   -0.6765
C050397C       -31.7000  180.9400  XB.MILO     -51.5680  287.3800   -0.6279
C050397C       -31.7000  180.9400  XB.SALM     -52.5490  287.9700   -0.7226
C050397C       -31.7000  180.9400  XB.SALM     -52.5490  287.9700   -0.6607
C050397C       -31.7000  180.9400  XB.VTDF     -54.1390  291.2940   -0.7302
C050397C       -31.7000  180.9400  XH.CHAS     -21.9600  292.1500   -0.2227
C050397C       -31.7000  180.9400  XH.LCOL     -22.2800  292.3500   -0.2114
C050397C       -31.7000  180.9400  XH.OLLA     -21.3200  291.9600   -0.2244
C050397C       -31.7000  180.9400  XH.OLLA     -21.3200  291.9600   -0.2185
C050397C       -31.7000  180.9400  XH.UYUN     -20.4600  293.2500   -0.1394
C050397C       -31.7000  180.9400  XH.UYUN     -20.4600  293.2500   -0.1519
C050802B       -17.8500  185.9400  G.HDC        10.0020  275.8890    0.2244
C050802B       -17.8500  185.9400  G.HDC        10.0020  275.8890   -0.3992
C050802B       -17.8500  185.9400  G.KIP        21.4200  201.9890    0.0798
C050802B       -17.8500  185.9400  G.KIP        21.4200  201.9890    0.0458
C050802B       -17.8500  185.9400  G.PPT       -17.5690  210.4240    0.3080
